pid,age,gender,country,login_count_24h,repeat_login_count_24h,active_days_24h,avg_login_gap_minutes,jobs_started_24h,unique_jobs_started_24h,career_jobs_started_24h,special_jobs_started_24h,freeplay_jobs_started_24h,challenge_jobs_started_24h,jobs_completed_24h,career_jobs_completed_24h,special_jobs_completed_24h,freeplay_jobs_completed_24h,challenge_jobs_completed_24h,tasks_completed_24h,subtasks_completed_24h,jobs_exited_24h,avg_session_length_exit,max_session_length_exit,avg_session_length,max_session_length,distinct_jobs_played,interruption_count,avg_interruption_session,longest_interrupted_session,career_play_ratio,special_play_ratio,freeplay_ratio,challenge_ratio,retained
p10797,33,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10798,24,Transgender,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10799,35,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p108,18,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1080,27,Non-binary,Australia,1,0,1,0,4,4,4,0,0,0,4,4,0,0,0,4,222,4,77.2500000000000000,130,45.5000000000000000,80,4,4,77.2500000000000000,130,1,0,0,0,1
p10800,23,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10801,25,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10802,31,Male,USA,2,1,1,268.1833333333333333,3,3,3,0,0,0,2,2,0,0,0,10,196,4,103.0000000000000000,121,63.3333333333333333,98,3,4,103.0000000000000000,121,1,0,0,0,1
p10803,34,Male,Germany,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,1,30,2,8.5000000000000000,9,5.0000000000000000,8,2,2,8.5000000000000000,9,1,0,0,0,0
p10804,24,Transgender,Canada,1,0,1,0,3,3,3,0,0,0,3,3,0,0,0,3,193,3,84.6666666666666667,116,46.6666666666666667,71,3,3,84.6666666666666667,116,1,0,0,0,1
p10805,26,Female,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10806,23,Male,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10807,25,Male,Germany,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,30,1,7.0000000000000000,7,2.0000000000000000,2,1,1,7.0000000000000000,7,1,0,0,0,0
p10808,34,Male,South Korea,1,0,1,0,2,2,2,0,0,0,2,2,0,0,0,2,140,2,43.5000000000000000,76,6.0000000000000000,11,2,2,43.5000000000000000,76,1,0,0,0,0
p10809,36,Female,Australia,2,1,1,615.6166666666666667,7,4,4,0,3,0,7,4,0,3,0,7,393,7,62.1428571428571429,167,35.2857142857142857,114,4,7,62.1428571428571429,167,0.5714285714285714,0,0.42857142857142855,0,1
p1081,35,Female,France,2,1,1,389.5166666666666667,10,10,10,0,0,0,9,9,0,0,0,17,717,11,87.3636363636363636,197,66.5000000000000000,150,10,11,87.3636363636363636,197,1,0,0,0,1
p10810,33,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10811,24,Male,Germany,4,3,2,434.9055555555555556,23,23,23,0,0,0,23,23,0,0,0,31,1960,23,128.2173913043478261,341,106.9130434782608696,332,23,23,128.2173913043478261,341,1,0,0,0,1
p10812,31,Female,Poland,2,1,1,4.8500000000000000,1,1,1,0,0,0,1,1,0,0,0,1,30,1,5.0000000000000000,5,0.00000000000000000000,0,1,1,5.0000000000000000,5,1,0,0,0,0
p10813,25,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10814,21,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10815,39,Prefer not to say,UK,2,1,1,0.68333333333333333333,6,6,6,0,0,0,5,5,0,0,0,10,331,6,115.8333333333333333,242,75.8333333333333333,145,6,6,115.8333333333333333,242,1,0,0,0,1
p10816,44,Male,Germany,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,30,1,7.0000000000000000,7,1.00000000000000000000,1,1,1,7.0000000000000000,7,1,0,0,0,0
